menu,description,menu-img-link,tag,price
กรีกโยเกิร์ต,โยเกิร์ตเนื้อเข้มข้นทานคู่กับผลไม้สด หรือกาโนล่า หรือฮันนี่โทสต์,,smoothie,
สมูทตี้เคลกล้วยหอม,ผักเคลเป็นผักที่มีคุณค่าทางโภชนาการสูงนำมาปั่นรวมกับกล้วยหอมน้ำผึ้ง และมะนาวเพื่อให้ได้รสชาติที่ทานง่ายขึ้น,https://img.wongnai.com/p/256x256/2023/04/02/38142da22dde4aed9d93c87b15cba5f2.jpg  ,smoothie,
อะโวคาโดสมูทตี้,อะโวคาโดผลไม้ที่ช่วยสร้างไขมันดีให้กับร่างกาย นำมาปั่นรวมกับน้ำผึ้งและมะนาว( ไม่ใส่น้ำเชื่อม),https://img.wongnai.com/p/256x256/2023/06/06/c107d6ba53cd4706a6968e355ff12c1d.jpg  ,smoothie,
สมูทตี้อะโวคาโดกลัวยหอม,อะโวคาโดปั่นรวมกับกล้วยหอมเพื่อรสชาติที่หวานกำลังดี *มีส่วนผสมของนม,https://img.wongnai.com/p/256x256/2023/10/09/55143719c47a4bc0a2a184002f0acc41.jpg  ,smoothie,
สตรอเบอร์รี่โยเกิร์ตพาย,ขนมหวานที่ผสมผสานความอร่อยของสตรอเบอร์รี่สดใหม่ หวานอมเปรี้ยว กับความนุ่มละมุนของโยเกิร์ต และความกรอบของฐานพาย ทำให้ได้รสชาติที่ลงตัว หวานมันกำลังดี เปรี้ยวสดชื่น เหมาะสำหรับคนที่ชอบขนมหวานรสชาติเบาๆ,https://img.wongnai.com/p/256x256/2023/06/06/c42907e2dd034983a395dc4507835c06.jpg  ,smoothie,
สมูทตี้เคลสับปะรดขิง,สมูทตี้ผักเคลผสมสับปะรดและขิงสด เพื่อสุขภาพที่ดี,,smoothie,
สมูทตี้โหระพาสับปะรดขิง,สมูทตี้สูตรพิเศษผสมโหระพาสด สับปะรด และขิง,,smoothie,
แซนวิชไข่เกาหลี,ขนมปังย่างเนยหอมๆสอดไส้ด้วยไข่ข้นสไตล์เกาหลีสามารถเพิ่มความอร่อยได้ด้วยการสั่งเพิ่มเครื่องเคียงเช่นแฮมชีสและอื่นๆ,,sandwich,
ปังญวนไข่ข้นดับเบิ้ลชีส,ขนมปังญวนโฮมเมดสอดไส้ไข่ข้น และพามเซานชีส+เชสด้าชีส ตัดเลี่ยนด้วยผักดอง และผักสด,https://img.wongnai.com/p/256x256/2023/07/20/fd1e25a5de9149af91abf6373c1c6dd7.jpg  ,sandwich,
ขนมปังญวน,ขนมปังญวน 2 ชิ้น,https://img.wongnai.com/p/256x256/2021/05/06/cc4315f9d23a4999bdbef7d33125de73.jpg  ,sandwich,
สลัดแร็ปปูอัดไข่กุ้ง,สลัดรวม (สลัด มะเขือเทศ แตงกวา กะหล่ำปลีม่วง แครอท) ห่อมาในแผ่นแป้งตอติญ่าสอดไส้ปูอัดไข่กุ้งราดน้ำสลัดโฮมเมด,https://img.wongnai.com/p/256x256/2023/09/26/d03793f6401a4bd580e16c2365885cf1.jpg  ,sandwich,
สลัดแร็ปทูน่า,สลัดรวม(สลัด มะเขือเทศ แตงกวา กะหล่ำปลีม่วง มะเขือเทศ แครอท) ห่อมาในแผ่นแป้งตอติญ่าสอดไส้ทูน่าราดน้ำสลัดครีมโฮมเมด,https://img.wongnai.com/p/256x256/2023/09/26/49e4c0391e1f40979a0e522bb4b87bf4.jpg  ,sandwich,
เบเกิลแฮมชีสไข่ดาว,ขนมปังเบเกิลโฮมเมดย่างเนยหอมๆ สอดไส้ผัก แฮม ชีส และไข่ดาว,https://img.wongnai.com/p/256x256/2023/11/03/bb70c931b9a548fe937e244127ea752d.jpg  ,sandwich,
สลัดแร็ปอกไก่พริกไทยดำ,สลัดรวม (สลัด มะเขือเทศ แตงกวา กะหล่ำปลีม่วง แครอท) ห่อมาในแผ่นแป้งตอติญ่าสอดไส้อกไก่ย่างพริกไทยดำราดน้ำสลัดโฮมเมด,,sandwich,
เอ้กอีเอ้กแซนวิช,ขนมปังญวนสอดไส้สลัดไข่ต้ม,https://img.wongnai.com/p/256x256/2024/05/08/46af94f1838f453ba613e2e02f2ff812.jpg  ,sandwich,
แชนวิชอกไก่สลัดไข่ต้ม,อกไก่ย่างพริกไทยดำ + สลัดไข่ต้ม+ สลัดรวม ห่อด้วยขนมปังย่างเนย,,sandwich,
เอ้กโรลโทส,ไข่ม้วนย่างสอดไส้ขนมปังนุ่มๆ และเครื่องเคียงที่คุณชอบ,https://img.wongnai.com/p/256x256/2024/10/24/05eed2d2790d43eabbb94ecc8cfe4ba9.jpg  ,sandwich,
โอเวอร์ไนท์โอ๊ตมีล,มีส่วนผสมของนมสด โยเกิร์ต เมล็ดเจีย และแฟล็กซ์ซีส,,sandwich,
